"id","status","sort","user_created","date_created","user_updated","date_updated","brand_name","model","price","price_before","image","discount_info","partner_name","partner_link_url","partner_link_rel_2","partner_link_title","ceneo_url","ceneo_link_rel_2","ceneo_link_title","is_pm1","pm1_range","pm1_accuracy","pm1_sensor_type","is_pm2","pm2_range","pm2_accuracy","pm2_sensor_type","is_pm10","pm10_range","pm10_accuracy","pm10_sensor_type","is_lzo","lzo_range","lzo_accuracy","lzo_sensor_type","is_hcho","hcho_range","hcho_accuracy","hcho_sensor_type","is_co2","co2_range","co2_accuracy","co2_sensor_type","is_co","co_range","co_accuracy","co_sensor_type","is_temperature","temperature_range","temperature_accuracy","is_humidity","humidity_range","humidity_accuracy","is_pressure","pressure_range","pressure_accuracy","battery","battery_capacity","voltage","has_power_cord","wifi","mobile_features","bluetooth","has_history","has_display","has_alarm","has_assessment","has_outdoor_indicator","has_battery_indicator","has_clock","temperature","humidity","width","height","depth","weight","capability_points","capability","profitability_points","profitability","ranking","review_link","ranking_hidden","main_ranking"
1,"draft",,"ce682939-7d3b-4f32-85de-df7f56fffb04","2022-05-06T09:56:40.000Z","ad94a830-561d-4978-b622-38970712b2ee","2025-03-02T14:34:21.000Z","Columbia","kk",5,5,,,,,"[""nofollow"",""noopener""]",,,"[""nofollow"",""noopener""]",,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,"0",,,"0",,,"0",,,"0","0","[""Wi-Fi 2,4 GHz""]","0","0","0","0","0","0","0","0",,,,,,,,0,,0,,,false,"false"
2,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-05-10T11:04:57.000Z","ad94a830-561d-4978-b622-38970712b2ee","2025-03-02T14:41:42.000Z","Dienmern","DM502",449,,"bdd236cc-6694-4b18-a817-954d7f2f2ed9",,"Allegro","https://allegro.pl/listing?string=dienmern%20dm502","[""nofollow"",""noopener""]",,"https://www.ceneo.pl/86352990","[""nofollow"",""noopener""]",,"0","0-999",,"laser","1","0-999",,"laser","0","0-999",,"laser","1","0~9,999 mg/m³",,"standard","1","0~1,999 mg/m³",,,"0",,,,"0",,,,"1","-20°C-~+70",,"1","0-~ 100",,"0",,,"1",1000,5,"1","0","[""Wi-Fi 2,4 GHz""]","0","1","1","1","1","0","1","1",,,8.7,15.5,3.5,0.16,26,100,5.21,72,5,,false,"nie"
3,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-07-20T12:13:11.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2024-07-30T08:47:39.000Z","Dienmern","DM106A",349,,"5b3cd4e1-d94c-4192-8897-fa62030f708f",,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/61817006#crid=230666&pid=16557","[""nofollow"",""noopener""]",,"1",,,"laser","1",,,"laser","1",,,"laser","1",,,,"1",,,,"0",,,,"0",,,,"1",,,"1",,,"0",,,"1",2200,5,"1","0","[""Wi-Fi 2,4 GHz""]","0","1","1","1","1","0","1","1",,,7,16.5,4.5,0.22,25,96,7.16,99,2,"https://ranking-oczyszczaczy.pl/recenzje-miernikow-jakosci-powietrza/dienmern-dm106a/",false,"false"
4,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-07-20T12:13:45.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2024-07-30T08:47:45.000Z","Dienmern","DM125",399,,"738c8d9e-93fa-4bdc-9591-f60f83dab410",,"Allegro","https://allegro.pl/produkt/czujnik-dienmern-dm125-0b8d29d1-3b24-46e6-8e94-81f02f162efa?preco_id=54fa3bc0-c03f-11eb-9f60-ecf4bbd0c338","[""nofollow"",""noopener""]",,,"[""nofollow"",""noopener""]",,"1","0-999",,"laser","1","0-999",,"laser","1","0-999",,"laser","0",,,,"0",,,,"1","400-5000",,,"0",,,,"1","10-50",1,"1","20-85",4,"0",,,"1",2000,5,"1","0","[""Wi-Fi 2,4 GHz""]","0","1","1","1","1","0","1","0",,,15,8.2,7.4,,23,88,6.23,86,3,,false,"false"
5,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-07-20T12:14:14.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2024-07-30T08:47:52.000Z","LIFAair","LAM05",1199,,"9828b66e-eb0a-41ba-a1aa-02206c25956f",,"Homespot","https://homespot.pl/lam05-stacja-pomiarowa-lifasmart-do-produktow-lifaair?utm_source=referer&utm_medium=cpc&utm_campaign=ranking_oczyszczaczy.pl&_ga=2.182601888.70497564.1658229398-1115683691.1600863021","[""nofollow"",""noopener""]",,,"[""nofollow"",""noopener""]",,"0",,,,"1",,,"laser","1",,,,"1",,,,"0",,,,"0",,,,"0",,,,"0",,,"0",,,"0",,,"1",5200,5,"1","1","[""Wi-Fi 2,4 GHz""]","0","1","1","0","0","0","1","1",,,,,,,17,65,1.42,19,20,"https://ranking-oczyszczaczy.pl/recenzje-miernikow-jakosci-powietrza/lifaair-lam05/",false,"false"
6,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-07-20T12:14:43.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2024-07-30T08:47:58.000Z","LIFAair","LAM03W",1299,,"b23e788f-3cc2-4346-af3b-8733cf996933",,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/69393184#crid=518571&pid=16557","[""nofollow"",""noopener""]",,"0",,,,"1",,,"laser","0",,,,"0",,,,"0",,,,"1",,,,"0",,,,"0",,,"0",,,"0",,,"1",,,"0","1","[""Wi-Fi 2,4 GHz""]","0","0","0","0","0","0","0","0",,,,,,,14,53,1.08,14,21,,false,"false"
7,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-07-20T12:28:07.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2024-07-30T08:48:07.000Z","Kaiterra","Laser Egg 2",549,,"c22b1573-22a3-4583-a02d-d428660c94b5",,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/60017264#crid=255600&pid=16557","[""nofollow"",""noopener""]",,"0",,,,"1",,10,"laser","0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"1",,,"1",,,"0",,,"1",2300,5,"1","1","[""Wi-Fi 2,4 GHz""]","0","1","1","0","1","1","1","1",,,10.6,10.6,8.8,0.285,14,53,2.73,37,14,"https://ranking-oczyszczaczy.pl/recenzje-miernikow-jakosci-powietrza/kaiterra-laser-egg-2-2/",false,"false"
8,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-07-20T12:28:44.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2024-07-30T08:48:13.000Z","Kaiterra","Laser Egg 2+",685,,"679b530f-a5bd-4193-a6ab-13f7af22555e",,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/60017269#crid=251079&pid=16557","[""nofollow"",""noopener""]",,"0",,,,"1",,10,"laser","0",,,,"1",,,,"0",,,,"0",,,,"0",,,,"1",,,"1",,,"0",,,"1",2300,5,"1","1","[""Wi-Fi 2,4 GHz""]","0","1","1","0","1","1","1","1",,,10.6,10.6,8.8,0.285,19,73,3.17,43,12,"https://ranking-oczyszczaczy.pl/recenzje-miernikow-jakosci-powietrza/kaiterra-laser-egg-2/",false,"false"
9,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-07-20T12:29:40.000Z","ce682939-7d3b-4f32-85de-df7f56fffb04","2024-07-30T08:46:52.000Z","Webber","SP75",166,,"db355da1-7850-47fa-afcd-5b79b76cce06",,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/57208553#crid=256801&pid=16557","[""nofollow"",""noopener""]",,"1",,,"laser","1",,,"laser","1",,,"laser","0",,,,"0",,,,"0",,,,"0",,,,"0",,,"0",,,"0",,,"1",610,5,"1","0","[""Wi-Fi 2,4 GHz""]","1","1","1","0","0","0","0","0",,,5.5,8.5,3.5,,12,46,7.23,100,1,"https://ranking-oczyszczaczy.pl/recenzje-miernikow-jakosci-powietrza/webber-sp-75/",false,"false"
10,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-07-20T12:30:05.000Z","ce682939-7d3b-4f32-85de-df7f56fffb04","2024-07-30T08:46:46.000Z","Webber","SP86",349,,"c5013640-3a13-4658-885d-112f79bbe88c",,,,"[""nofollow"",""noopener""]",,"https://www.ceneo.pl/86809589#crid=466157&pid=16557","[""nofollow"",""noopener""]",,"0",,,,"1",,,"laser","1",,,"laser","1",,,,"1",,,,"0",,,,"0",,,,"0",,,"0",,,"0",,,"1",,5,"1","0","[""Wi-Fi 2,4 GHz""]","0","1","1","1","0","0","1","1",,,7,15,4.3,,17,65,4.87,67,6,"https://ranking-oczyszczaczy.pl/recenzje-miernikow-jakosci-powietrza/webber-sp86/",false,"false"
