id,status,sort,user_created,date_created,user_updated,date_updated,model,brand_name,image,price,discount_info,partner_name,partner_link_url,partner_link_rel_2,partner_link_title,ceneo_url,ceneo_link_rel_2,ceneo_link_title,max_performance,max_area,max_area_ro,has_humidification,humidification_type,humidification_switch,humidification_efficiency,humidification_performance_measure,humidification_area,water_tank_capacity,hygrometer,hygrostat,min_value_for_hygrostat,max_value_for_hygrostat,increment_of_the_hygrostat,evaporative_filter,evaporative_filter_life,evaporative_filter_price,ionizer_type,ionizer_switch,mesh_filter,hepa_filter,hepa_filter_service_life,cations_count,anions_count,hepa_filter_price,carbon_filter,carbon_filter_service_life,carbon_filter_price,uvc,uv_light_generator,mobile_app,mobile_features,remote_control,control_other,rated_power_consumption,width,height,weight,depth,review_link,ionization,rated_voltage,capability_points,capability,profitability_points,ranking,profitability,min_loudness,max_loudness,max_rated_power_consumption,filter_type,coffered_type,integrated_price,integrated_hepa_filter_service_life,separate_price,separate_hepa_filter_service_life,separate_price_carbon,separate_carbon-filter_service_life,certificates,pm2_sensor,pm2_indicator,colors,number_of_fan_speeds,functions,lzo_tvcop_sensor,temperature_sensor,humidity_sensor,light_sensor,hepa_filter_class,effectiveness_hepa_filter,info_ionization,info_loudness,info_rated_power_consumption,pm2_concentration_1,pm2_concentration_2,pm2_concentration_3,pm2_concentration_4,pm2_concentration_5,pm2_concentration_6,air_state_1,air_state_2,air_state_3,air_state_4,air_state_5,air_state_6,indicator_color_1,indicator_color_2,indicator_color_3,indicator_color_4,indicator_color_5,indicator_color_6,price_date,ranking_hidden,auto_points,estetic,filter_costs,other_filter,functions_and_equipment,heating_and_cooling_function,with_fan,min_area_ro,image_url,main_ranking,for_kids,cooling_function,bedroom,smokers,office,kindergarten,astmatic,alergic,type_of_device,silver_ion,type,is_promo,gallery
256,published,,f76fde35-7e8f-49bd-893d-9706def1e294,2024-12-05T13:30:20.000Z,f76fde35-7e8f-49bd-893d-9706def1e294,2024-12-05T13:48:49.000Z,AC3420/10,Philips,f23ec150-26c6-4ee1-9295-fa100cbe79e4,1799,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/173907852#crid=718223&pid=16557,"[""noopener"",""nofollow""]",Sprawdź na Ceneo.pl,300,72,37.5,1,vapor,0,650,,,3200,1,1,,,,1,6,99,,0,1,1,12,,,199,1,12,199,0,,1,0,0,,,,,6.5,,https://ranking-oczyszczaczy.pl/recenzje/philips-ac3420-10/,0,,,,,,,17,40,43,1,,,,,,,,"[""PZH""]",0,0,"[""biały"",""srebrny""]",3,,1,0,0,1,0,99.97,,,,,,,,,,,,,,,,,,,,,,2024-12-05,FALSE,15,0,"Filtr nawilżacza – do 6 mies., 99 zł filtr oczyszczacza – 12 mies, 199 zł.",,"[""Tryb auto"",""Sterowanie smartfonem"",""Nawilżacz ewaporacyjny""]",nie,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,"[""Oczyszczacz powietrza z nawilżaczem""]",1,with_humi,FALSE,[]
1,published,,f76fde35-7e8f-49bd-893d-9706def1e294,2022-04-12T07:39:22.000Z,ce682939-7d3b-4f32-85de-df7f56fffb04,2025-02-26T15:07:52.000Z,Forste 4,Klarta,b98bfd98-8538-4e1b-ba5a-de8182702d04,899,,Klarta,"https://homespot.pl/pl/searchquery/klarta+forste/1/desc/5?url=klarta,forste","[""dofollow""]",Zobacz w sklepie Klarta.pl,,[],,300,40,38,0,,0,,,,,0,0,,,,0,,,plasma,1,1,1,12,30,45,169,1,12,169,0,,1,"[""Wi-Fi 2,4 GHZ""]",1,,5,55,56.5,6.2,18,/recenzje/klarta-forste-4/,1,220-230,52,52,96,1,96,20,58,41,0,1,0,,0,12,0,12,"[""PZH""]",laserowy,0,"[""biały"",""czarny"",""srebrny"",""złoty"",""róża""]",8,"[""2"",""1"",""4"",""6"",""5"",""3x Auto Mode"",""3""]",1,0,tak,1,HEPA H13,99.95,,<60,"5,6-38",>5,6-10,11-15,16-20,21-25,26-30,bardzo dobre,dobre,średnie,złe,złe,bardzo złe,,,,,,,2025-02-26,FALSE,,,"Komplet filtrów (HEPA H13 EV 99.97% + filtr węglowy) - 159 zł.
Komplet filtrów (HEPA E11 + filtr węglowy) - 139 zł. Koszt roczny od 139 zł.",,"[""Tryb auto"",""Jonizator plazmowy"",""Sterowanie smartfonem"",""Pilot"",""5 kolorów""]",nie,nie,,/wp-content/uploads/klarta-3248-1.jpg,tak,tak,nie,tak,tak,nie,nie,tak,tak,,,with_ion,TRUE,"[453,454,455,457,458,462,463,465,936]"
257,published,,f76fde35-7e8f-49bd-893d-9706def1e294,2024-12-05T13:34:23.000Z,f76fde35-7e8f-49bd-893d-9706def1e294,2024-12-05T13:49:04.000Z,AC3421/13,Philips,cd86d36f-bf37-4b57-9578-ad4ccefc6dcd,1829,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/173709828#crid=718232&pid=16557,"[""noopener"",""nofollow""]",Sprawdź na Ceneo.pl,300,72,37.5,1,vapor,0,650,,,3200,1,1,,,,1,6,99,,0,1,1,12,,,199,1,12,199,0,,1,0,0,,,,,6.5,,https://ranking-oczyszczaczy.pl/recenzje/philips-ac3420-10/,0,,,,,,,17,40,43,1,,,,,,,,"[""PZH""]",0,0,"[""czarny""]",3,,1,0,0,1,0,99.97,,,,,,,,,,,,,,,,,,,,,,2024-12-05,FALSE,15,0,"Filtr nawilżacza – do 6 mies., 99 zł filtr oczyszczacza – 12 mies, 199 zł.",,"[""Tryb auto"",""Sterowanie smartfonem"",""Nawilżacz ewaporacyjny""]",nie,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,"[""Oczyszczacz powietrza z nawilżaczem""]",1,with_humi,FALSE,[969]
2,draft,,f76fde35-7e8f-49bd-893d-9706def1e294,2022-04-12T12:31:38.000Z,f76fde35-7e8f-49bd-893d-9706def1e294,2024-12-11T13:11:05.000Z,Stor 2,Klarta,393fd7e8-1b1e-456e-b0df-d882782f7fbe,1299,,Klarta.pl,https://klarta.pl/oczyszczacze-powietrza/klarta-stor-2/?utm_source=ro,"[""dofollow""]",Link do sklepu Klarta.pl,https://www.ceneo.pl/119351535#crid=522582&pid=16557,"[""dofollow""]",Link do najtańszej oferty na Ceneo.pl,600,80,75,0,,0,,,,,0,0,,,,0,,,plasma,1,1,1,24,30,45,269,1,24,269,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,5,50,74.5,9,30,/recenzje/klarta-stor-2/,1,220-240,87,87,93,2,95,24,64,70,0,1,0,,0,,0,,"[""PZH""]",laserowy,1,"[""biały"",""czarny"",""srebrny"",""złoty""]",6,"[""1"",""2"",""5"",""6"",""3 x Auto Mode"",""zapamiętanie ostatnich ustawień""]",1,0,tak,1,HEPA H13,99.95,,<66,"4,1-65,8",0 - 7,8-14,15-21,22-28,29-35,>35,dobre,dobre,średnie,średnie,złe,złe,zielony,zielony,pomarańczowy,pomarańczowy,czerwony,czerwony,2024-12-11,FALSE,15,,"Wymiana kompletu filtrów co 24 miesięcy. Cena kompletu z filtrem z HEPA E11 - 239 zł, komplet z filtrem H13 EF - 299 zł. Koszt roczny od 119,5 zł.",,"[""Tryb auto"",""Jonizator plazmowy"",""Sterowanie smartfonem"",""Pilot"",""4 kolory""]",1,0,,https://staging.ranking-oczyszczaczy.pl/wp-content/uploads/Klarta-Stor-2-oczyszczacz-z-jonizacja.webp,tak,nie,nie,nie,tak,tak,tak,tak,tak,,,with_ion,FALSE,"[19,20,21,22,603,604,605,606,607,608,609]"
258,published,,94875643-bc29-4c6b-89d0-3b59e7ddf858,2024-12-19T13:07:50.000Z,,,Pure 900,Electrolux,fba5e2d5-22ae-432d-944e-f05791ad3581,2999,,,,"[""nofollow"",""noopener""]",,,"[""nofollow"",""noopener""]",,600,,75,1,vapor,0,,,,,0,0,,,,0,,,blade,0,0,1,,,,,0,,,0,,0,"[""Wi-Fi 2,4 GHZ""]",0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"[""szary"",""beżowy""]",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-19,FALSE,,0,Brak danych,,"[""Jonizator ostrzowy"",""Sterowanie smartfonem""]",nie,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,[]
3,published,,f76fde35-7e8f-49bd-893d-9706def1e294,2022-04-12T13:44:23.000Z,ce682939-7d3b-4f32-85de-df7f56fffb04,2024-10-08T12:49:43.000Z,AX34R3020WW,Samsung,64cdaa96-6126-4516-91a4-08b27ff58194,869,,,,[],,https://www.ceneo.pl/88972583#crid=522685&pid=16557,"[""noopener"",""nofollow""]",Sprawdź najtańszą ofertę w Ceneo.pl,264,34,33,0,,0,,,,,0,0,,,,0,,,,0,1,1,12,,,199,1,12,199,0,,0,"[""Wi-Fi 2,4 GHZ""]",0,,,35,54,8.2,35,/recenzje/samsung-ax34r3020ww/,0,220-230,34,34,60,5,60,20,45,30,0,0,199,12,0,,0,,,0,1,"[""biały""]",3,"[""1"",""2"",""3""]",1,1,1,1,0,99.95,,,,≤ 15,16-35,36-75,>75,,,bardzo dobre,dobre,średni,złe,,,niebieski,zielony,żółty,czerwony,,,2024-10-08,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[518,519,520,522]"
259,published,,f76fde35-7e8f-49bd-893d-9706def1e294,2024-12-19T14:56:46.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2025-01-21T08:02:24.000Z,MC30YV,Daikin,5972c411-fc36-4786-9a55-aef7a15ba5bd,899,,,,0,,https://www.ceneo.pl/142609946#crid=717284&pid=16557,"[""noopener"",""nofollow""]",Sprawdź na Ceneo.pl,180,,22.5,0,,0,,,,,0,0,,,,0,,,plasma,0,1,1,120,,,499,1,120,499,0,,0,"[""Wi-Fi 2,4 GHZ""]",0,,8,35,56,5.8,34.5,/recenzje/daikin-mc30yv/,1,,,23,,,39,18,37,25,0,0,499,120,,,,,,brak,,"[""biały""]",,,1,nie,nie,nie,HEPA H13,99.97,,,,,,,,,,,,,,,,,,,,,,2025-01-21,FALSE,0,0,"499 zł. Wymiana co 10 lat. Realnie może być szybciej, np. co ok. 3 lata.",Elektrostatyczny,"[""Jonizator plazmowy""]",nie,0,,,tak,nie,nie,nie,nie,nie,nie,nie,nie,,,with_ion,FALSE,[]
4,published,,f76fde35-7e8f-49bd-893d-9706def1e294,2022-04-12T14:04:20.000Z,ce682939-7d3b-4f32-85de-df7f56fffb04,2024-11-15T13:40:36.000Z,AX90R7080WD,Samsung,949b376e-2f74-4350-8c13-afc89fb851a4,2399,0,,,[],,https://www.ceneo.pl/85716064#crid=522698&pid=16557,"[""nofollow"",""noopener""]",Sprawdź najtańszą ofertę na Ceneo.pl,701,90,87,0,,0,,,,,0,0,,,,0,,,plasma,0,1,1,12,,,179,1,12,179,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,,36,105,15,28,/recenzje/samsung-ax90r7080wd/,0,220-230,90,90,66,3,57,21,54,90,0,0,378,12,0,,0,,"[""PZH"",""PTA""]",0,0,"[""biały""]",,"[""1"",""2"",""3"",""4"",""6"",""timer""]",0,1,1,1,0,99.95,,,,≤ 15,16-35,36-75,>75,,,bardzo dobre,dobry,średnie,zły,,,Niebieski,zielony,żółty,czerwony,,,2024-11-15,FALSE,,,2 komplety filtrów zintegrowanych (HEPA + węglowy) co 18 miesięcy - łącznie 358 zł. Roczny koszt ok. 240 zł.,,"[""Czujnik LZO"",""Tryb auto"",""Sterowanie smartfonem""]",1,0,,,tak,nie,nie,nie,nie,tak,tak,tak,tak,,,,FALSE,"[561,562,563,564,565,566,567]"
260,published,,94875643-bc29-4c6b-89d0-3b59e7ddf858,2025-01-09T12:43:05.000Z,94875643-bc29-4c6b-89d0-3b59e7ddf858,2025-01-10T11:57:44.000Z,PureProtect Serii 4200,Philips,6e616bf2-1671-43b3-9355-ac8c61504d62,2059,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/173736702#crid=722217&pid=16557,"[""nofollow"",""noopener""]",Link do Cenep.pl,600,156,75,0,,0,,,,,0,0,,,,0,,,,0,1,1,12,,,389,1,12,389,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,,28.5,52,6.54,28.5,https://ranking-oczyszczaczy.pl/recenzje/philips-pure-protect-serii-4200/,0,,,,,,,15,60,54,1,,,,,,,,"[""ECARF""]",laserowy,0,"[""srebrny""]",6,,0,nie,nie,tak,HEPA H13,99.95,,,,,,,,,,,,,,,,,,,,,,2025-01-10,FALSE,0,0,Od 389 na rok,,"[""Czujnik LZO"",""Tryb auto"",""Sterowanie smartfonem""]",nie,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,just_purifier,FALSE,[]
5,published,,f76fde35-7e8f-49bd-893d-9706def1e294,2022-04-12T14:11:22.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2025-02-19T12:43:10.000Z,AX60R5080WD,Samsung,f831413a-8d21-4488-89e9-1efa3c3646e3,1699,0,,,[],,https://www.ceneo.pl/85716063#crid=522702&pid=16557,"[""noopener"",""nofollow""]",Sprawdź najtańszą ofertę na Ceneo.pl,467,60,58,0,,0,,,,,0,0,,,,0,,,,0,1,1,,,,189,1,12-24,189,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,7.2,36,78.3,11.2,29.3,/recenzje/samsung-ax60r5080wd/,0,220-230,59,59,64,4,69,21,60,45,0,0,189,,0,,0,,,0,0,"[""biały""]",,"[""1"",""2"",""3"",""4"",""timer""]",0,,,,0,99.95,,>60,,≤ 15,16-35,36-75,>75,,,bardzo dobre,dobry,średnie,zły,,,Niebieski,zielony,żółty,czerwony,,,2025-02-19,FALSE,,,"Filtr zintegrowany (HEPA + węglowy) co 12-24 miesiące – 249 zł. Koszt roczny od 124,5 do 249 zł.",,"[""Tryb auto"",""Sterowanie smartfonem"",""Czujnik LZO""]",nie,nie,,,tak,nie,nie,tak,nie,tak,tak,tak,tak,,,just_purifier,FALSE,"[528,529,531,532,533,534,535,536,537,538,539,543,544]"
